id,borough_county,primary_sector,entity_trade_name,annual_turnover,entity_status,country_of_primary_operation,Coal_Consumption_By_Sector(toe),Electricity_Consumption_By_Structure(toe),Gas_Consumption_By_Structure(toe),Geographic Code,Local Authority,NG_Consumption_By_Sector(toe),Petrol_Consumption_By_Sector(toe),Region,SIC Group,Section,Sector,Structure_Type
225,Cheshire West and Chester,"69-75 : Professional, scientific & technical","Morris, Hughes, Stevens, Lees, Lees",0-632k,1,United Kingdom,0,5.279251661,6.111830599,E06000050,Cheshire West and Chester,0.206581657,0,,69-75,M,"Professional, scientific & technical",Shop
226,Central Bedfordshire,77-82 : Business administration & support services,"Davies, May, Dyer, Roberts, Carter-Hunter",0-632k,1,United Kingdom,0,3.465565662,3.363265711,E06000056,Central Bedfordshire,0.201663552,0,,77-82,N,Business administration & support services,Shop
227,"Newry, Mourne and Down",49-53 : Transport & Storage (inc. postal),"Watkins-Scott, Bray, Williams, Richards, Brown, Brown, Harrison",0-632k,1,United Kingdom,,,,N09000010,"Newry, Mourne and Down",,,,49-53,H,Transport & Storage (inc. postal),Shop
228,Bury,68 : Property,"Clarke, Carr-Flynn, Jackson-Adams, Sharpe, Collins",632k-10.2M,1,United Kingdom,0,2.047554802,2.097214058,E08000002,Bury,0.087226973,0,,68,L,Property,Shop
229,City of London,05-39 : Production,"Wright, Mason, Turnbull, Lee, Lawrence-Evans",0-632k,1,United Kingdom,0,24.13192312,9.909851323,E09000001,City of London,5.928567173,0,,May-39,B,Production,Office
230,Breckland,49-53 : Transport & Storage (inc. postal),"Smith, Brown, Thompson, Doyle-Wilson, Manning",0-632k,1,United Kingdom,0,3.415575266,2.391440667,E07000143,Breckland,0.144536722,0,,49-53,H,Transport & Storage (inc. postal),Shop
231,East Riding of Yorkshire,41-43 : Construction,"Harvey, Thomas, James, Bevan, Matthews-Powell",0-632k,1,United Kingdom,0,3.255296002,4.891596177,E06000011,East Riding of Yorkshire,0.310685081,0,,41-43,F,Construction,Shop
232,Hillingdon,58-63 : Information & communication,"Simmons, King, Cooper, Bates Carter, Curtis, Hunt",0-632k,0,United Kingdom,0,17.40575122,14.03967217,E09000017,Hillingdon,0.208152532,0,,58-63,J,Information & communication,Office
233,Norwich,86-88 : Health,"Robertson, Benson-Baldwin, Ward, Thomas, Middleton, Mitchell, Brown",0-632k,0,United Kingdom,0,1.718835226,2.873832023,E07000148,Norwich,0.638717649,0,,86-88,Q,Health,Shop
234,Three Rivers,55-56 : Accommodation & food services,"Jones, Shaw, Oliver, Johnson, Clarke-Webb",0-632k,1,United Kingdom,0,7.819813404,7.017179868,E07000102,Three Rivers,0.46974917,0,,55-56,I,Accommodation & food services,Office
235,Swindon,"69-75 : Professional, scientific & technical","Jones-Miller, Brown-Anderson, Mason, Robinson, Gray, Harding, Harris",0-632k,0,United Kingdom,0,17.96084827,12.54354313,E06000030,Swindon,0.997965619,0.089188287,,69-75,M,"Professional, scientific & technical",Warehouse
236,Slough,58-63 : Information & communication,"Lee, Doherty, Jones, Brown, Walton, Young, Williams",0-632k,0,United Kingdom,0,12.39699408,2.976605082,E06000039,Slough,0.083957624,0,,58-63,J,Information & communication,Shop
237,Colchester,58-63 : Information & communication,"O'Sullivan, Wilson-Armstrong, Daly-Elliott, Harrison-Thomas Bishop-Cook",0-632k,1,United Kingdom,0,4.257898907,3.650478845,E07000071,Colchester,0.116949729,0,,58-63,J,Information & communication,Office
238,Moray,47 : Retail,"Price, Ward, Barlow, Scott, Patel",0-632k,0,United Kingdom,,,,S12000020,Moray,,,,47,G,Retail,Warehouse
239,Harborough,"69-75 : Professional, scientific & technical","Andrews, Brown, Ward, Davies, Hanson-Watkins",0-632k,1,United Kingdom,0,5.166731844,4.892508357,E07000131,Harborough,0.668371028,0,,69-75,M,"Professional, scientific & technical",Office
240,Southend-on-Sea,85 : Education,"Thorpe, Williams, Bradshaw, Carroll, Hudson-Baker",632k-10.2M,1,United Kingdom,0,5.057753846,4.028772981,E06000033,Southend-on-Sea,0.614528134,0,,85,P,Education,Office
241,North Devon,"01-03 : Agriculture, forestry & fishing","O'Donnell, Thomas-Patel, Pugh, Patel, Clarke, Poole, Phillips",0-632k,1,United Kingdom,0,31.85356607,17.46600979,E07000043,North Devon,0.018000656,0.00239331,,01-Mar,A,"Agriculture, forestry & fishing",Other
242,Rushcliffe,77-82 : Business administration & support services,"Williams, Griffiths, Webb, Mitchell, Gibson, Ford, Martin",0-632k,1,United Kingdom,0,13.55185724,40.53350457,E07000176,Rushcliffe,0.517214331,0.198671412,,77-82,N,Business administration & support services,Warehouse
243,Craven,77-82 : Business administration & support services,"Sykes, Taylor, Smith, Stephens, Robertson-North",0-632k,1,United Kingdom,0,2.236337347,1.792902161,E07000163,Craven,0.104068715,0,,77-82,N,Business administration & support services,Shop
244,Westminster,"69-75 : Professional, scientific & technical","Evans, Cooper, Stewart-Pollard, Thomas-Moore Matthews-Thomas",0-632k,0,United Kingdom,0,5.02375686,3.316598572,E09000033,Westminster,0.177650387,0,,69-75,M,"Professional, scientific & technical",Shop
245,Sandwell,47 : Retail,"Williams, Andrews, Shepherd, Lewis, Howarth-Walker",0-632k,0,United Kingdom,0,3.055747135,3.436168884,E08000028,Sandwell,0.655498601,0,,47,G,Retail,Shop
246,Mid Suffolk,"69-75 : Professional, scientific & technical","Pollard, Buckley, Iqbal, Bennett, Clarke, Walsh, Young",0-632k,1,United Kingdom,0,7.735701105,8.844861576,E07000203,Mid Suffolk,0.530405548,0,,69-75,M,"Professional, scientific & technical",Office
247,Craven,47 : Retail,"Brooks, Cooper, Bowen, Howarth-Crawford, Patel",0-632k,1,United Kingdom,0,15.57394981,11.79663342,E07000163,Craven,1.233265797,0.362686408,,47,G,Retail,Factory
248,Oxford,58-63 : Information & communication,"Dunn-Skinner, Harding, Griffiths-Pope, Murphy-Sanders Bird, Walker, Poole",0-632k,1,United Kingdom,0,4.667670943,5.139084135,E07000178,Oxford,0.051756709,0,,58-63,J,Information & communication,Shop
249,Tameside,05-39 : Production,"Williams, Smith-Scott, Gallagher, Wallace, Hill",0-632k,1,United Kingdom,0.054152985,14.71557619,16.39194446,E08000008,Tameside,4.12097444,0.006191521,,May-39,B,Production,Factory
250,Antrim and Newtownabbey,45 : Motor trades,"Harding-Wood, Harrison, Ferguson, Robinson, Wall-Ross",0-632k,1,United Kingdom,,,,N09000001,Antrim and Newtownabbey,,,,45,G,Motor trades,Office
251,Leeds,77-82 : Business administration & support services,"Hudson, Walsh, Walsh, Little, Adams-Shah",0-632k,1,United Kingdom,0,3.967125345,4.568971097,E08000035,Leeds,0.195626257,0,,77-82,N,Business administration & support services,Office
252,Shropshire,"01-03 : Agriculture, forestry & fishing","Kelly, Roberts, Parker, O'Brien, Shah, Hill, Greenwood",0-632k,1,United Kingdom,0,2.737284819,2.815548162,E06000051,Shropshire,0.034929428,0,,01-Mar,A,"Agriculture, forestry & fishing",Shop
253,Rochdale,41-43 : Construction,"Cox, Taylor, Bray, Jones-Oliver, Scott-Leonard",632k-10.2M,1,United Kingdom,0,2.022028846,2.480306841,E08000005,Rochdale,0.270379809,0,,41-43,F,Construction,Shop
254,Wolverhampton,05-39 : Production,"Akhtar, Patel, Schofield, Turner, Roberts",0-632k,1,United Kingdom,8.956030423,18.06603501,20.65324695,E08000031,Wolverhampton,20.1205865,0.762827331,,May-39,C,Production,Factory
255,York,"69-75 : Professional, scientific & technical","Taylor, Jones, Riley, Hunt, Pratt",0-632k,1,United Kingdom,0,26.98956846,44.82785338,E06000014,York,1.071396818,0.110784114,,69-75,M,"Professional, scientific & technical",Factory
256,Tameside,"90-99 : Arts, entertainment, recreation & other","Phillips, Carr, Burton-Craig, O'Donnell-Begum Tomlinson",0-632k,1,United Kingdom,0,8.122835313,13.23087787,E08000008,Tameside,0.348087124,0,,90-99,S,"Arts, entertainment, recreation & other",Office
257,North East Lincolnshire,85 : Education,"Pearson, Jones, Holland, Palmer, Henderson",0-632k,0,United Kingdom,0.036334787,28.5359538,65.63028713,E06000012,North East Lincolnshire,3.156047675,0.007175159,,85,P,Education,Warehouse
258,Wellingborough,"90-99 : Arts, entertainment, recreation & other","Ali-Reid, Miller-Davison, Dyer-Turner, Smith, Day",0-632k,1,United Kingdom,0.023443585,8.940089946,6.031233087,E07000156,Wellingborough,0.529529917,0.017573321,,90-99,R,"Arts, entertainment, recreation & other",Warehouse
259,New Forest,77-82 : Business administration & support services,"Evans, Clarke, Davies-Brady, Smith, McCarthy, Burke, Carr",0-632k,1,United Kingdom,0,20.78564213,10.40019056,E07000091,New Forest,0.173515218,0.030479278,,77-82,N,Business administration & support services,Other
260,Hyndburn,05-39 : Production,"Williams-Warren, Johnson, Newman, Taylor-Rogers Graham-Dawson",0-632k,1,United Kingdom,4.519505377,5.013685058,9.194226435,E07000120,Hyndburn,11.54313308,0.402494016,,May-39,C,Production,Warehouse
261,Westminster,"69-75 : Professional, scientific & technical","Griffiths-Green, Shaw-Stevens, Perry-Kirk, Russell, Powell, Bishop, Gallagher",0-632k,1,United Kingdom,0,1145.988235,654.6280307,E09000033,Westminster,0.21029529,0.014719831,,69-75,M,"Professional, scientific & technical",Other
262,"Bournemouth, Christchurch and Poole","69-75 : Professional, scientific & technical","Jones, Dixon, O'Brien, Shepherd, Singh",0-632k,1,United Kingdom,0,19.84965367,15.92370369,E06000029,"Bournemouth, Christchurch and Poole",0.539693488,0.069546843,,69-75,M,"Professional, scientific & technical",Factory
263,Sutton,41-43 : Construction,"Harris-Lane, Davey, Clarke, Hill, Patterson-Hill",0-632k,1,United Kingdom,0,80.51176626,66.14701146,E09000029,Sutton,0.321966361,0.176021008,,41-43,F,Construction,Other
264,Swindon,47 : Retail,"Roberts-Wells, Evans, Pickering, Stewart, Cooper",0-632k,0,United Kingdom,0,45.19409326,35.08152705,E06000030,Swindon,3.423886652,2.876252818,,47,G,Retail,Factory
265,Bath and North East Somerset,58-63 : Information & communication,"Patterson, Smith, Williams, Stokes, Woodward",0-632k,1,United Kingdom,0,10.84385104,12.11412908,E06000022,Bath and North East Somerset,0.171609218,0.080240083,,58-63,J,Information & communication,Warehouse
266,Norwich,41-43 : Construction,"Parker-Jones, King, Thomas-Kent, Patel-Hunter Barry, James, Baker",0-632k,1,United Kingdom,0,33.23979452,51.23893334,E07000148,Norwich,0.38342799,0.288199561,,41-43,F,Construction,Other
267,Hounslow,41-43 : Construction,"Hunter, Phillips, Roberts, Connolly, Knight-Godfrey",0-632k,1,United Kingdom,0,69.74570945,53.74447617,E09000018,Hounslow,0.641177096,0.351902726,,41-43,F,Construction,Other
268,Camden,86-88 : Health,"Cooper, Dawson, Harrison, Skinner, Davies",0-632k,1,United Kingdom,0,3.451958583,4.51863482,E09000007,Camden,0.43315272,0,,86-88,Q,Health,Shop
269,Ashford,41-43 : Construction,"Mason, Davies, Osborne, Johnson, Storey-Rahman",0-632k,1,United Kingdom,0,6.41758722,6.133966494,E07000105,Ashford,0.564160508,0.268674258,,41-43,F,Construction,Warehouse
270,New Forest,"69-75 : Professional, scientific & technical","Jones, Jenkins, Jones, Williams, Hargreaves-Jordan",0-632k,1,United Kingdom,0,17.92215491,10.50562888,E07000091,New Forest,0.530658814,0.087734795,,69-75,M,"Professional, scientific & technical",Factory
271,Stroud,46 : Wholesale,"Manning, Fox, Parker, Powell, Smith",0-632k,1,United Kingdom,0,4.201497902,3.52091473,E07000082,Stroud,0.672458084,0,,46,G,Wholesale,Shop
272,"Newry, Mourne and Down","01-03 : Agriculture, forestry & fishing","Barker, Cole, Brown, Conway, Hart, Barrett, Wright",0-632k,1,United Kingdom,,,,N09000010,"Newry, Mourne and Down",,,,01-Mar,A,"Agriculture, forestry & fishing",Warehouse
273,Eden,47 : Retail,"Mills, Peacock, Mills, Harrison, Clarke, Atkinson, Taylor",0-632k,1,United Kingdom,0,9.560164196,22.40471408,E07000030,Eden,1.148206722,0.485497711,,47,G,Retail,Warehouse
274,Tower Hamlets,"90-99 : Arts, entertainment, recreation & other","Patel-Lewis, Bell-Wilkinson, Francis, Ward, Holden-Lamb",0-632k,1,United Kingdom,0,6.659462685,3.236133062,E09000030,Tower Hamlets,0.071492018,0,,90-99,S,"Arts, entertainment, recreation & other",Office
275,Enfield,41-43 : Construction,"Ahmed, Mitchell, Walton, Wright-Kemp, Watkins-Harrison",0-632k,1,United Kingdom,0,34.92458411,45.18881089,E09000010,Enfield,1.598049577,3.102198623,,41-43,F,Construction,Factory
276,Northumberland,47 : Retail,"Williams-Allen, Perkins, Chambers, Howard White",0-632k,1,United Kingdom,0,10.24790147,10.90077363,E06000057,Northumberland,1.051161597,0,,47,G,Retail,Office
277,East Lindsey,"69-75 : Professional, scientific & technical","Young, Lewis, Roberts-Howarth, Bull, Bibi, Turner, Bradley",0-632k,0,United Kingdom,0,26.643934,10.49668251,E07000137,East Lindsey,0.148043567,0.035893371,,69-75,M,"Professional, scientific & technical",Other
278,Leicester,05-39 : Production,"Ford, Young, Preston, Doyle, Stokes, Jones, Harrison",0-632k,1,United Kingdom,0,2.308168115,3.405130304,E06000016,Leicester,4.448418906,0,,May-39,C,Production,Shop
279,Hart,41-43 : Construction,"Hughes, Grant, Campbell, Jones-Saunders, Holland",632k-10.2M,1,United Kingdom,0,25.38266952,13.27574391,E07000089,Hart,0.430092604,0.374237704,,41-43,F,Construction,Factory
280,Gloucester,85 : Education,"Murphy-Williams, Owen-Kemp, Richardson-Green, Stephenson, Whitehead-Lloyd",632k-10.2M,1,United Kingdom,0.040379196,25.84157443,27.73773646,E07000081,Gloucester,2.033389066,0.007073785,,85,P,Education,Factory
281,Redbridge,47 : Retail,"Brennan, Simpson, Ross, Russell, Mistry-Allen",0-632k,1,United Kingdom,0,29.5168827,30.99509255,E09000026,Redbridge,2.126971443,0.746854852,,47,G,Retail,Factory
282,Nottingham,45 : Motor trades,"Smith, Mitchell, Walsh, Scott, Foster, Barry, Roberts",632k-10.2M,0,United Kingdom,0,11.2277934,12.45137057,E06000018,Nottingham,1.601483563,0.358766671,,45,G,Motor trades,Warehouse
283,Southend-on-Sea,58-63 : Information & communication,"Rowley, Stewart, Brown, Wheeler, Barnes",0-632k,1,United Kingdom,0,1.182869017,0.929725723,E06000033,Southend-on-Sea,0.022233645,0,,58-63,J,Information & communication,Shop
284,County Durham,"69-75 : Professional, scientific & technical","Edwards, Baker, Williams, Chapman, Hewitt, Smith, Walker",0-632k,0,United Kingdom,0,2.3483832,3.237880792,E06000047,County Durham,0.203059986,0,,69-75,M,"Professional, scientific & technical",Shop
285,Shropshire,45 : Motor trades,"Talbot-Brown, Smith, Saunders, Pearce, Parry",0-632k,0,United Kingdom,0,9.638166219,9.190363887,E06000051,Shropshire,0.934230334,0.197597541,,45,G,Motor trades,Warehouse
286,Hillingdon,46 : Wholesale,"Carter-Clarke, Hartley, Jones, Green, Chambers",0-632k,1,United Kingdom,0,3.340580944,3.357591115,E09000017,Hillingdon,0.395503566,0,,46,G,Wholesale,Shop
287,East Dunbartonshire,"90-99 : Arts, entertainment, recreation & other","Adams, Johnson, Smith, Law-Forster, Ali, Gregory, Stewart",0-632k,1,United Kingdom,,,,S12000045,East Dunbartonshire,,,,90-99,S,"Arts, entertainment, recreation & other",Warehouse
288,Fylde,77-82 : Business administration & support services,"Reid, Hamilton, Potts, Cole-Martin, O'Connor, Metcalfe, Taylor",632k-10.2M,0,United Kingdom,0,27.83269251,25.48485742,E07000119,Fylde,0.442497874,0.401136276,,77-82,N,Business administration & support services,Factory
289,City of London,"69-75 : Professional, scientific & technical","Saunders-Carter, Warner-Smith, Scott, Thomas, Burgess, Collins, Lewis",0-632k,1,United Kingdom,0,23.41736595,9.451789769,E09000001,City of London,0.645041889,0,,69-75,M,"Professional, scientific & technical",Office
290,Blackpool,58-63 : Information & communication,"Davies, Lynch, Baker, Morris-Taylor, Brooks, Sullivan, Grant",0-632k,1,United Kingdom,0,1.248955811,1.695553457,E06000009,Blackpool,0.028096792,0,,58-63,J,Information & communication,Shop
291,Mid Suffolk,"01-03 : Agriculture, forestry & fishing","Roberts-French, Pickering, Harris, Pritchard-Walton Stephens, Williams, Doyle",0-632k,1,United Kingdom,0,7.316416659,9.035050964,E07000203,Mid Suffolk,0.096650973,0,,01-Mar,A,"Agriculture, forestry & fishing",Office
292,Cornwall,05-39 : Production,"Mitchell-Saunders, Roberts, Nixon-Singh, Henderson-Williams Butler, Greenwood, Johnson",0-632k,1,United Kingdom,0,20.64267396,15.44330014,E06000052,Cornwall,2.522594018,0.058447553,,May-39,C,Production,Other
293,North Devon,85 : Education,"Mitchell-Harrison, George, Hayward-Evans, Morgan-Hunt Johnson-Taylor",0-632k,1,United Kingdom,0,7.732392414,4.722912356,E07000043,North Devon,1.126288924,0,,85,P,Education,Office
294,Wigan,77-82 : Business administration & support services,"Holt, Fisher-Reed, Finch, Stevens-Miller Reynolds-Davis",0-632k,1,United Kingdom,0,29.30368404,39.39871816,E08000010,Wigan,0.230175125,0.044177703,,77-82,N,Business administration & support services,Other
295,Dorset,47 : Retail,"Begum, Gough, Miah, Mahmood-Evans, Cook, Lloyd, Garner",0-632k,1,United Kingdom,0,12.68568718,8.746887632,E10000009,Dorset,0.482359787,0.165320381,,47,G,Retail,Other
296,Rugby,"01-03 : Agriculture, forestry & fishing","Lane-Day, Francis, Wells-Matthews, Gardner-Fletcher Baker",0-632k,1,United Kingdom,0.001058462,38.20092142,40.88134505,E07000220,Rugby,0.261506978,0.130109049,,01-Mar,A,"Agriculture, forestry & fishing",Factory
297,South Cambridgeshire,68 : Property,"Woods, Fisher, Reed, Buckley-Evans, Dickinson-Johnston",0-632k,1,United Kingdom,0,4.723661466,3.470331036,E07000012,South Cambridgeshire,0.156898426,0,,68,L,Property,Office
298,Cheshire West and Chester,47 : Retail,"Ward, Wilkins, Marsh, Wright, Wilson",0-632k,1,United Kingdom,0,5.250734253,4.881893512,E06000050,Cheshire West and Chester,0.471196247,0,,47,G,Retail,Shop
299,Arun,41-43 : Construction,"Barnes, Gregory, Ward, Ward-Hart, Williams, Bennett, Morris",0-632k,1,United Kingdom,0,6.558870296,9.280992244,E07000224,Arun,0.529923798,0.375561514,,41-43,F,Construction,Warehouse
300,South Holland,41-43 : Construction,"Black, Bailey, White, Spencer, Barlow-Clayton",0-632k,1,United Kingdom,0,16.57479713,10.5408481,E07000140,South Holland,0.955313703,0,,41-43,F,Construction,Office
301,Brighton and Hove,58-63 : Information & communication,"Hanson, Humphries, Sullivan, Clayton-Pritchard, Holmes, Hussain, Cross",0-632k,1,United Kingdom,0,30.84930881,26.21532503,E06000043,Brighton and Hove,0.230197944,0.171949839,,58-63,J,Information & communication,Factory
302,Haringey,47 : Retail,"Harris-Evans, Woods, Hamilton, Harvey Allen",0-632k,1,United Kingdom,0,22.18270033,18.98799903,E09000014,Haringey,0.445201418,0.054588877,,47,G,Retail,Other
303,Allerdale,"01-03 : Agriculture, forestry & fishing","Clements-Smith, Robson, Walters, Singh Norris, Evans, Howe",0-632k,1,United Kingdom,0,2.473164307,6.261731756,E07000026,Allerdale,0.034641913,0,,01-Mar,A,"Agriculture, forestry & fishing",Shop
304,East Hertfordshire,41-43 : Construction,"Henderson, Warren, Lord, James Osborne",0-632k,1,United Kingdom,0,6.80602979,7.773347852,E07000242,East Hertfordshire,0.548033564,0.359000659,,41-43,F,Construction,Warehouse
305,Exeter,"01-03 : Agriculture, forestry & fishing","Howe, Davies, Kennedy, Hall-Walsh Pearce",0-632k,1,United Kingdom,0,4.746377504,6.104143747,E07000041,Exeter,0.065395604,0,,01-Mar,A,"Agriculture, forestry & fishing",Office
306,Bexley,58-63 : Information & communication,"Brooks-Williams, Day, Boyle, Bull, Harrison-Holland",0-632k,1,United Kingdom,0,32.17496083,55.66489522,E09000004,Bexley,0.098667132,0.043062962,,58-63,J,Information & communication,Other
307,Redcar and Cleveland,"69-75 : Professional, scientific & technical","Owens-Nelson, Kay, Scott, Warren, Bishop",0-632k,1,United Kingdom,0,39.50352812,70.01642948,E06000003,Redcar and Cleveland,0.330292402,0.022714608,,69-75,M,"Professional, scientific & technical",Other
308,Braintree,"90-99 : Arts, entertainment, recreation & other","Thompson, Randall-Lamb, Franklin, Shaw Gill",0-632k,1,United Kingdom,0,2.798392571,2.020502493,E07000067,Braintree,0.102215565,0,,90-99,S,"Arts, entertainment, recreation & other",Shop
309,Central Bedfordshire,41-43 : Construction,"James-John, Burton-Yates, Walton-Shepherd, Williamson-Webster Kemp-Pearce",0-632k,1,United Kingdom,0,27.96609785,28.32466745,E06000056,Central Bedfordshire,0.423212431,0.335898196,,41-43,F,Construction,Other
310,Waltham Forest,"69-75 : Professional, scientific & technical","Brown-Atkinson, Cox-Lucas, Long, Robinson, Clark-Whitehouse",0-632k,1,United Kingdom,0,1.243188846,1.172271865,E09000031,Waltham Forest,0.04672387,0,,69-75,M,"Professional, scientific & technical",Shop
311,Vale of White Horse,77-82 : Business administration & support services,"O'Neill, Glover, Clarke, Sharp-Scott, Morley",0-632k,1,United Kingdom,0,12.73537113,8.163685725,E07000180,Vale of White Horse,0.330146752,0.098933169,,77-82,N,Business administration & support services,Warehouse
312,Waverley,68 : Property,"Brooks-Campbell, Parkes, Williams, Matthews, Powell-Bryan",0-632k,1,United Kingdom,0,14.74433241,27.04269026,E07000216,Waverley,0.071062981,0.00713933,,68,L,Property,Other
313,Woking,41-43 : Construction,"Harrison, Butcher-Khan, Richardson, Morgan, Barker, Brown, Thornton",0-632k,1,United Kingdom,0,4.726488166,2.206288811,E07000217,Woking,0.203241784,0,,41-43,F,Construction,Shop
314,Camden,86-88 : Health,"Hall-Perkins, Roberts, Davies-Mitchell, O'Sullivan Poole",0-632k,1,United Kingdom,0,3.082540969,3.808685366,E09000007,Camden,0.364566907,0,,86-88,Q,Health,Office
315,Derby,46 : Wholesale,"Parkes, Patel, Morrison, Williams, Thomas-Hodgson",0-632k,1,United Kingdom,0,2.242433296,3.079587922,E06000015,Derby,0.401456909,0,,46,G,Wholesale,Shop
316,Scottish Borders,"01-03 : Agriculture, forestry & fishing","Thompson, Phillips, Morgan, Collier, Warren-Schofield",0-632k,1,United Kingdom,,,,S12000026,Scottish Borders,,,,01-Mar,A,"Agriculture, forestry & fishing",Office
317,Denbighshire,"01-03 : Agriculture, forestry & fishing","Simpson, Jones, Scott, Bolton-Wells, Shaw, Gregory, Steele",0-632k,1,United Kingdom,0,13.21376077,17.57286577,W06000004,Denbighshire,0.02501595,0.002653396,,01-Mar,A,"Agriculture, forestry & fishing",Other
318,Bury,"69-75 : Professional, scientific & technical","Long, Johnson, Baldwin, Jones, Stephenson-Parker",0-632k,1,United Kingdom,0,1.688633986,2.257494679,E08000002,Bury,0.126766271,0,,69-75,M,"Professional, scientific & technical",Shop
319,Harlow,46 : Wholesale,"Robson, Price, Fraser, Patel, Khan, Hamilton, Pearson",0-632k,1,United Kingdom,0,11.08683995,13.11220845,E07000073,Harlow,1.410461802,0.298782685,,46,G,Wholesale,Warehouse
320,Warrington,41-43 : Construction,"Knight, Burke, Martin, Watson, Bell",0-632k,1,United Kingdom,0,11.84165974,21.57502245,E06000007,Warrington,1.237806064,0.828936335,,41-43,F,Construction,Warehouse
321,Westminster,41-43 : Construction,"Davies, Dawson, Brooks, Doyle, Potter-Fraser",0-632k,1,United Kingdom,0,2.505935436,2.567303921,E09000033,Westminster,0.099032366,0,,41-43,F,Construction,Office
322,Tandridge,05-39 : Production,"Brown-Little, Dale, Hughes-Bryan, Gardiner-Stevens Harding",632k-10.2M,1,United Kingdom,0,1.874736639,2.074178402,E07000215,Tandridge,3.221702825,0,,May-39,C,Production,Shop
323,Harrogate,41-43 : Construction,"Barker, Fisher, Bradley, Wilson, Barnett-Hancock",632k-10.2M,1,United Kingdom,0,3.314993831,2.577391293,E07000165,Harrogate,0.183270332,0,,41-43,F,Construction,Shop
324,Trafford,05-39 : Production,"Evans, Hopkins, Lewis, Payne-Scott, Vincent-Parker",0-632k,1,United Kingdom,0,4.292555932,7.155542363,E08000009,Trafford,5.2719064,0,,May-39,C,Production,Shop
325,Nottingham,47 : Retail,"Dyer, Price, Howard, Lane, Hall",632k-10.2M,0,United Kingdom,0,2.467134985,2.879049641,E06000018,Nottingham,0.305892874,0,,47,G,Retail,Shop
326,Vale of Glamorgan,41-43 : Construction,"Taylor, Dyer, Bradley, Chandler-Brown Gordon",0-632k,1,United Kingdom,0,14.72196111,9.258618966,W06000014,Vale of Glamorgan,0.797287585,0.443262138,,41-43,F,Construction,Warehouse
327,Central Bedfordshire,55-56 : Accommodation & food services,"Nicholson-Clarke, Robinson, Lambert, Knowles, Green",632k-10.2M,1,United Kingdom,0,4.287344055,3.23512112,E06000056,Central Bedfordshire,0.662186368,0,,55-56,I,Accommodation & food services,Shop
328,Sunderland,"69-75 : Professional, scientific & technical","Glover-Gray, Watts, Long, Buckley, Weston-Doherty",0-632k,1,United Kingdom,0,3.781668706,2.823674869,E08000024,Sunderland,0.174738616,0,,69-75,M,"Professional, scientific & technical",Shop
329,Hammersmith and Fulham,"69-75 : Professional, scientific & technical","Watkins, Sutton, Smith-Carr, Tucker Walker",0-632k,1,United Kingdom,0,5.148559599,4.588602543,E09000013,Hammersmith and Fulham,0.177875472,0,,69-75,M,"Professional, scientific & technical",Office
330,Knowsley,49-53 : Transport & Storage (inc. postal),"James-Johnston, Baker-Boyle, Swift, Martin, Green",0-632k,0,United Kingdom,0,4.953833156,5.451158479,E08000011,Knowsley,0.154784665,0,,49-53,H,Transport & Storage (inc. postal),Shop
331,Dorset,41-43 : Construction,"Richardson, Townsend-Doherty, Bond-Williams, James-Lyons Palmer, Anderson, Holmes",0-632k,1,United Kingdom,0,8.85262538,7.516970611,E10000009,Dorset,0.319822424,0.424742598,,41-43,F,Construction,Factory
332,Isle of Anglesey,"01-03 : Agriculture, forestry & fishing","Begum, Baker, Adams, Carter, Johnson, Ford, Miles",0-632k,1,United Kingdom,0,10.30670919,10.46133472,W06000001,Isle of Anglesey,0.075082108,0,,01-Mar,A,"Agriculture, forestry & fishing",Office
333,Scottish Borders,"69-75 : Professional, scientific & technical","Hartley-Shaw, Donnelly-Smith, Moore, Green, Mitchell",0-632k,1,United Kingdom,,,,S12000026,Scottish Borders,,,,69-75,M,"Professional, scientific & technical",Warehouse
334,Barnet,47 : Retail,"Richards, Tomlinson, Ross, Fox-Hanson, Lyons, Fletcher, Hughes",632k-10.2M,1,United Kingdom,0,1.400907747,1.493177396,E09000003,Barnet,0.155808454,0,,47,G,Retail,Shop
335,Manchester,47 : Retail,"Gallagher, Mason, Carroll, Franklin-Walters, Robinson",0-632k,1,United Kingdom,0,5.262214228,4.026134641,E08000003,Manchester,0.536733701,0,,47,G,Retail,Office
336,Hounslow,47 : Retail,"Knight, Boyle, Baker, Martin, Lee",0-632k,1,United Kingdom,0,20.80356473,14.13127514,E09000018,Hounslow,1.455951925,0.768704184,,47,G,Retail,Warehouse
337,Kingston upon Thames,47 : Retail,"Thompson-Price, Kennedy-Barton, Pearson, Rogers-Hall Nixon",0-632k,1,United Kingdom,0,2.352304974,1.787993255,E09000021,Kingston upon Thames,0.228363031,0,,47,G,Retail,Shop
338,Cardiff,"69-75 : Professional, scientific & technical","Wilkinson, Gregory, Young, Simpson, Edwards-Taylor",0-632k,1,United Kingdom,0,3.063626701,3.97698491,W06000015,Cardiff,0.151429652,0,,69-75,M,"Professional, scientific & technical",Shop
339,Sevenoaks,47 : Retail,"Williams, Bailey, Reynolds, Brown, Leach-Roberts",0-632k,0,United Kingdom,0,2.23446823,1.680215438,E07000111,Sevenoaks,0.404783362,0,,47,G,Retail,Shop
